route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-413,000001,OCESN105330F714606:2022-03-10T20:29:31Z,105330,1,,
OCESN-413,000002,OCESN105340F711774:2022-03-08T20:46:18Z,105340,1,,
OCESN-413,000003,OCESN105342F711555:2022-03-10T20:29:31Z,105342,1,,
OCESN-413,000004,OCESN105345F708431:2022-03-09T20:30:55Z,105345,1,,
OCESN-413,000005,OCESN105347F774396:2022-03-08T20:46:18Z,105347,1,,
OCESN-413,000006,OCESN105347F789593:2022-03-07T20:46:24Z,105347,1,,
OCESN-413,000007,OCESN105350F710903:2022-03-04T20:33:16Z,105350,1,,
OCESN-413,000008,OCESN105362F498870:2022-01-26T20:39:16Z,105362,1,,
OCESN-413,000009,OCESN105362F711184:2022-03-08T20:46:18Z,105362,1,,
OCESN-413,000010,OCESN105367F797505:2022-03-10T20:29:31Z,105367,1,,
OCESN-413,000011,OCESN105367F798243:2022-03-10T20:29:31Z,105367,1,,
OCESN-413,000008,OCESN105375F608200:2022-01-26T20:39:16Z,105375,1,,
OCESN-413,000012,OCESN105375F705927:2022-03-10T20:29:31Z,105375,1,,
OCESN-413,000013,OCESN105377F711798:2022-03-07T20:46:24Z,105377,1,,
OCESN-413,000014,OCESN105377F713071:2022-03-09T20:30:55Z,105377,1,,
OCESN-413,000003,OCESN105378F711086:2022-03-10T20:29:31Z,105378,1,,
OCESN-413,000015,OCESN105378F711431:2022-03-08T20:46:18Z,105378,1,,
OCESN-413,000016,OCESN105379F710812:2022-03-08T20:46:18Z,105379,1,,
OCESN-413,000014,OCESN105432F708404:2022-03-09T20:30:55Z,105432,1,,
OCESN-413,000001,OCESN105432F710868:2022-03-10T20:29:31Z,105432,1,,
OCESN-413,000017,OCESN105432F710939:2022-03-08T20:46:18Z,105432,1,,
OCESN-413,000000,OCESN105437F711558:2022-03-10T20:29:31Z,105437,1,,
OCESN-413,000018,OCESN105442F646967:2022-03-01T20:49:34Z,105442,1,,
OCESN-413,000019,OCESN105442F719663:2022-03-10T20:29:31Z,105442,1,,
OCESN-413,000020,OCESN105450F713901:2022-03-10T20:29:31Z,105450,1,,
OCESN-413,000001,OCESN105476F716979:2022-03-10T20:29:31Z,105476,1,,
OCESN-413,000020,OCESN105484F711845:2022-03-10T20:29:31Z,105484,1,,
OCESN-413,000015,OCESN105485F710170:2022-03-08T20:46:18Z,105485,1,,
OCESN-413,000003,OCESN105485F720874:2022-03-10T20:29:31Z,105485,1,,
OCESN-413,000016,OCESN105494F711045:2022-03-08T20:46:18Z,105494,1,,
OCESN-413,000001,OCESN105494F711677:2022-03-10T20:29:31Z,105494,1,,
OCESN-413,000021,OCESN106330F711711:2022-03-10T20:29:31Z,106330,0,,
OCESN-413,000022,OCESN106330F719640:2022-03-01T20:49:34Z,106330,0,,
OCESN-413,000015,OCESN106331F711691:2022-03-08T20:46:18Z,106331,0,,
OCESN-413,000003,OCESN106331F713618:2022-03-10T20:29:31Z,106331,0,,
OCESN-413,000011,OCESN106342F792615:2022-03-10T20:29:31Z,106342,0,,
OCESN-413,000023,OCESN106345F712014:2022-03-09T20:30:55Z,106345,0,,
OCESN-413,000023,OCESN106347F711243:2022-03-09T20:30:55Z,106347,0,,
OCESN-413,000001,OCESN106347F715198:2022-03-10T20:29:31Z,106347,0,,
OCESN-413,000007,OCESN106350F710507:2022-03-04T20:33:16Z,106350,0,,
OCESN-413,000011,OCESN106367F712109:2022-03-09T20:30:55Z,106367,0,,
OCESN-413,000010,OCESN106367F797142:2022-03-10T20:29:31Z,106367,0,,
OCESN-413,000024,OCESN106377F711831:2022-03-09T20:30:55Z,106377,0,,
OCESN-413,000000,OCESN106378F720516:2022-03-10T20:29:31Z,106378,0,,
OCESN-413,000025,OCESN106379F718107:2022-03-10T20:29:31Z,106379,0,,
OCESN-413,000002,OCESN106437F706825:2022-03-08T20:46:18Z,106437,0,,
OCESN-413,000026,OCESN106442F710292:2022-03-10T20:29:31Z,106442,0,,
OCESN-413,000027,OCESN106442F730225:2022-02-11T20:26:32Z,106442,0,,
OCESN-413,000000,OCESN106450F712943:2022-03-10T20:29:31Z,106450,0,,
OCESN-413,000025,OCESN106461F714721:2022-03-10T20:29:31Z,106461,0,,
OCESN-413,000020,OCESN106484F714734:2022-03-10T20:29:31Z,106484,0,,
OCESN-413,000020,OCESN106485F710905:2022-03-10T20:29:31Z,106485,0,,
OCESN-413,000028,OCESN106485F797499:2022-03-10T20:29:31Z,106485,0,,
OCESN-413,000029,OCESN106485F797737:2022-03-10T20:29:31Z,106485,0,,
OCESN-413,000000,OCESN107220F708736:2022-03-10T20:29:31Z,107220,1,,
OCESN-413,000000,OCESN107241F714642:2022-03-10T20:29:31Z,107241,1,,
OCESN-413,000000,OCESN107253F711589:2022-03-10T20:29:31Z,107253,1,,
OCESN-413,000003,OCESN107260F713021:2022-03-10T20:29:31Z,107260,1,,
OCESN-413,000010,OCESN107260F791080:2022-03-08T20:46:18Z,107260,1,,
OCESN-413,000002,OCESN107300F707950:2022-03-08T20:46:18Z,107300,1,,
OCESN-413,000001,OCESN107306F709573:2022-03-10T20:29:31Z,107306,1,,
OCESN-413,000030,OCESN107320F710088:2022-03-10T20:29:31Z,107320,1,,
OCESN-413,000023,OCESN107359F711737:2022-03-09T20:30:55Z,107359,1,,
OCESN-413,000000,OCESN107455F715134:2022-03-10T20:29:31Z,107455,1,,
OCESN-413,000000,OCESN108220F713017:2022-03-10T20:29:31Z,108220,0,,
OCESN-413,000010,OCESN108241F709510:2022-03-08T20:46:18Z,108241,0,,
OCESN-413,000003,OCESN108241F791566:2022-03-10T20:29:31Z,108241,0,,
OCESN-413,000010,OCESN108260F708920:2022-03-08T20:46:18Z,108260,0,,
OCESN-413,000003,OCESN108260F791446:2022-03-10T20:29:31Z,108260,0,,
OCESN-413,000030,OCESN108320F707786:2022-03-10T20:29:31Z,108320,0,,
OCESN-413,000000,OCESN108359F709975:2022-03-10T20:29:31Z,108359,0,,
OCESN-413,000008,OCESN108440F430092:2022-01-26T20:39:16Z,108440,0,,
OCESN-413,000020,OCESN108440F713983:2022-03-10T20:29:31Z,108440,0,,
OCESN-413,000009,OCESN108440F719737:2022-03-08T20:46:18Z,108440,0,,
OCESN-413,000000,OCESN108444F712675:2022-03-10T20:29:31Z,108444,0,,
OCESN-413,000000,OCESN108487F711648:2022-03-10T20:29:31Z,108487,0,,
OCESN-413,000000,OCESN108803F710568:2022-03-10T20:29:31Z,108803,0,,
OCESN-1998130,000031,OCESN13100F668590:2022-03-08T20:46:18Z,13100,0,,
OCESN-1998130,000032,OCESN13100F682693:2022-03-04T20:33:16Z,13100,0,,
OCESN-1998130,000033,OCESN13100F710481:2022-03-01T20:49:34Z,13100,0,,
OCESN-1998130,000034,OCESN13102F540592:2022-03-08T20:46:18Z,13102,0,,
OCESN-1998130,000035,OCESN13102F646454:2022-02-14T09:22:38Z,13102,0,,
OCESN-1998130,000036,OCESN13102F711782:2022-03-01T20:49:34Z,13102,0,,
OCESN-1998130,000034,OCESN13104F540566:2022-03-08T20:46:18Z,13104,0,,
OCESN-1998130,000037,OCESN13104F714185:2022-03-01T20:49:34Z,13104,0,,
OCESN-1998130,000038,OCESN13107F540615:2022-03-08T20:46:18Z,13107,1,,
OCESN-1998130,000039,OCESN13107F711959:2022-02-22T20:26:28Z,13107,1,,
OCESN-1998130,000034,OCESN13108F540666:2022-03-08T20:46:18Z,13108,0,,
OCESN-1998130,000040,OCESN13108F549224:2022-03-10T20:29:31Z,13108,0,,
OCESN-1998130,000041,OCESN13108F694088:2022-02-14T09:22:38Z,13108,0,,
OCESN-1998130,000042,OCESN13108F711302:2022-03-04T20:33:16Z,13108,0,,
OCESN-1998130,000033,OCESN13108F712910:2022-03-01T20:49:34Z,13108,0,,
OCESN-1998130,000043,OCESN13108F730458:2022-03-04T01:43:16Z,13108,0,,
OCESN-1998130,000038,OCESN13111F540458:2022-03-08T20:46:18Z,13111,1,,
OCESN-1998130,000039,OCESN13111F710490:2022-02-23T20:44:24Z,13111,1,,
OCESN-1998130,000034,OCESN13112F540589:2022-03-08T20:46:18Z,13112,0,,
OCESN-1998130,000037,OCESN13112F720219:2022-03-01T20:49:34Z,13112,0,,
OCESN-1998130,000034,OCESN13114F540658:2022-03-08T20:46:18Z,13114,0,,
OCESN-1998130,000044,OCESN13114F549229:2022-03-09T20:30:55Z,13114,0,,
OCESN-1998130,000045,OCESN13114F694225:2022-02-14T09:22:38Z,13114,0,,
OCESN-1998130,000037,OCESN13114F711689:2022-03-01T20:49:34Z,13114,0,,
OCESN-1998130,000046,OCESN13114F711697:2022-03-02T20:32:55Z,13114,0,,
OCESN-1998130,000047,OCESN13114F743807:2022-02-14T09:22:38Z,13114,0,,
OCESN-1998130,000038,OCESN13115F540605:2022-03-08T20:46:18Z,13115,1,,
OCESN-1998130,000039,OCESN13115F711755:2022-02-22T20:26:28Z,13115,1,,
OCESN-1998130,000034,OCESN13116F541243:2022-03-08T20:46:18Z,13116,0,,
OCESN-1998130,000037,OCESN13116F711294:2022-03-01T20:49:34Z,13116,0,,
OCESN-1998130,000038,OCESN13118F540999:2022-03-09T20:30:55Z,13118,0,,
OCESN-1998130,000045,OCESN13118F694010:2022-02-14T09:22:38Z,13118,0,,
OCESN-1998130,000048,OCESN13118F711481:2022-02-23T20:44:24Z,13118,0,,
OCESN-1998130,000049,OCESN13118F711482:2022-02-17T20:29:31Z,13118,0,,
OCESN-1998130,000047,OCESN13118F744210:2022-02-14T09:22:38Z,13118,0,,
OCESN-1998130,000050,OCESN13118F763789:2022-03-04T20:33:16Z,13118,0,,
OCESN-1998130,000038,OCESN13119F540593:2022-03-08T20:46:18Z,13119,1,,
OCESN-1998130,000039,OCESN13119F712051:2022-02-23T20:44:24Z,13119,1,,
OCESN-1998130,000051,OCESN13122F540693:2022-02-14T09:22:38Z,13122,0,,
